product_name;opinion_id;sentiment;opinion;score;date,product_name,sentiment,opinion,score,opinion_id,sntiment,date,Product Name,Opinion ID,Sentiment,Opinion,Score,product_name;opinion_id;sentiment;opinion(text);date,statement
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
 enjoyable and smooth gameplay.;4;,,,,,,,,,,,,,,
